pool,block_number,block_hash,block_time,log_index,tx_hash,sender,recipient,amount0,amount1,sqrt_price_x96,liquidity,price,tick,gasUsed,gasPrice
mypool,15837696,0xfd5b8bc30a1a8a63edbbc123ecc3864482488b5eeb92463d98b55f7271be7967,1666853015,8,0xfd5b8bc30a1a8a63edbbc123ecc3864482488b5eeb92463d98b55f7271be7967,0x6f5ec3afd157fa6da81ec3c215ab46e6c450f907,recipient,-6232.163716,3.993636198177825,2006096043643066211861273657728401,0,1559.7526230009514,202797,314089,10118402923
mypool,15837697,0xf511af5fa3a22eef112972f779ad4c3d24065a52c4dd5437a1a7c778d027c304,1666853027,2,0xf511af5fa3a22eef112972f779ad4c3d24065a52c4dd5437a1a7c778d027c304,0x988749e7c18416447205893e0443ced3598cdd6b,recipient,366389.875293,-235.086261937026,2006587228265476352001242990040425,0,1558.989105,202802,212611,153806609686
mypool,15837698,0xd856e0871e806ad06cd275db0cd1a5bf3ca3f33f6286b5944f1bf4ec630bdc70,1666853039,2,0xd856e0871e806ad06cd275db0cd1a5bf3ca3f33f6286b5944f1bf4ec630bdc70,0xbbad96336943a36e3e292d973b3382dd0ba4d1ef,recipient,718077.349276,-461.00452877998674,2007325891183723737397855030187233,0,1557.8419513983538,202809,270246,8951230399
mypool,15837700,0xa04bb09c50a0e5f8c3fbd76353c2543d4f7a05614d270953e07088dbc44ff408,1666853063,613,0xa04bb09c50a0e5f8c3fbd76353c2543d4f7a05614d270953e07088dbc44ff408,0x5174dedc36695f1593c527f7c1b6486b6d6a8120,recipient,-2280.115194,1.4629035192908513,2007323546015549122040000818046864,0,1557.8455914727272,202809,280032,8013436933
mypool,15837701,0x728b9d3009f66f8467887930b07f5cc4e502a5a0db605a9eef2903f3feb85973,1666853075,100,0x728b9d3009f66f8467887930b07f5cc4e502a5a0db605a9eef2903f3feb85973,0x4767192455266e422386d14991d697a418c63225,recipient,7646.174414,-4.910611209149419,2007324148894108317679113583885687,0,1557.8446557080028,202809,287118,10145326680
mypool,15837701,0x8d648724bf2091a63924fd4826ad97a4c1f1bae654a57ea228c1b42da0f84924,1666853075,9,0x8d648724bf2091a63924fd4826ad97a4c1f1bae654a57ea228c1b42da0f84924,0xaf42405d3fdfcc7c391178b350d0b86a395c099e,recipient,-7063.843688,4.532083442943185,2007316280671174091917932882813024,0,1557.8568685248763,202809,525490,10145326680
mypool,15837703,0x1486bd732d6080c053b6486a88812e0c7a2ad2cfd4416ba77380d1b647d03c2d,1666853099,243,0x1486bd732d6080c053b6486a88812e0c7a2ad2cfd4416ba77380d1b647d03c2d,0x139b86d5f2a23618b0ebca3dbeaae42badf7d606,recipient,4503.004139,-2.8924816655946226,2007503476841436849841854828086258,0,1557.5663472418819,202811,328569,9957181613
mypool,15837703,0xe0cf3b955f0955bd6a559f46c95fbed7b04d308bdb09be2a6876b1fa77b2cbc8,1666853099,25,0xe0cf3b955f0955bd6a559f46c95fbed7b04d308bdb09be2a6876b1fa77b2cbc8,0x988749e7c18416447205893e0443ced3598cdd6b,recipient,82181.892496,-52.7837904572968,2007492485910344066672720344265679,0,1557.5834024999997,202811,212331,18725850857
mypool,15837704,0xc0cb88cd050187bfbb0ee717021c66e3023381c0f3107e4b2083c8fd93e3c295,1666853111,15,0xc0cb88cd050187bfbb0ee717021c66e3023381c0f3107e4b2083c8fd93e3c295,0xe709837a251a8995e6f7a7aca9d821a48c499ce9,recipient,6071.796254,-3.9002373986385037,2007518297070378601572013846721606,0,1557.5433502862015,202811,1500000,17000000000
mypool,15837704,0xe03544ff1244a635d495b48ace985342653b8752f664c33addaa1365b2c6c84e,1666853111,220,0xe03544ff1244a635d495b48ace985342653b8752f664c33addaa1365b2c6c84e,0x3303b6aed6f306a6d7cf5e8c8956befd8f1bd2e2,recipient,20237.441551,-13.0,2007567694826604934705525437353959,0,1557.4667021110452,202812,195668,10226321410
mypool,15837706,0xd54e731a3f673852111ee0556a5f7c35d5a25e845af778f6e1a9cca4f2a2a79d,1666853135,302,0xd54e731a3f673852111ee0556a5f7c35d5a25e845af778f6e1a9cca4f2a2a79d,0x10763988715993eaf59905029ce3414ada0b5200,recipient,-3424.061429,2.197372920832,2007559341011860515976802812739440,0,1557.4796639349913,202812,235506,10306430239
mypool,15837708,0xc6ba1a230de44e4c65b8effd9a41487042c6f1d77bdc46f5445319d28df44b12,1666853159,64,0xc6ba1a230de44e4c65b8effd9a41487042c6f1d77bdc46f5445319d28df44b12,0x3ebd49c474a15acd06ba6704f63d200219b114e6,recipient,-57324.262461,36.78481537668822,2007419241214988610692572401402177,0,1557.6970676485332,202810,650605,11000000000
mypool,15837709,0x24b92bfa2723f5f771f7b9fcf7a9347b407d1f7a104a23322947e745d3eed302,1666853171,124,0x24b92bfa2723f5f771f7b9fcf7a9347b407d1f7a104a23322947e745d3eed302,0x9d99b3e1dbabfd9e2de0a54554054a0b8aa7f670,recipient,7784.517285,-5.0,2007438274849592933175116748030770,0,1557.6675290105354,202810,195651,9964326389
mypool,15837710,0xb60b522a3dc87738d6dd9060c63c7deafa2ac767c8397310b64ef90d96dbc7b3,1666853183,181,0xb60b522a3dc87738d6dd9060c63c7deafa2ac767c8397310b64ef90d96dbc7b3,0x3aec8e8348a21ac32e47fcf4e275f8c89f4a293c,recipient,1824.860119,-1.1721224398333567,2007442736799639196190447635879009,0,1557.6606045520175,202810,292071,9916263617
mypool,15837711,0xf96666f0f787a5811b05e1a1c6edd95bc328e1c8484aff37197a7638ee5338d4,1666853195,105,0xf96666f0f787a5811b05e1a1c6edd95bc328e1c8484aff37197a7638ee5338d4,0x88f859db067c45b114897db6920f3e4a61a5ca66,recipient,-1175.0,0.7539580937134231,2007439865251292480267654268500027,0,1557.6650608757263,202810,549794,10346846275
mypool,15837712,0xa85037a0c76da563872d853347611bdc925f3c3837a8763332b815e8f32b5b10,1666853207,2,0xa85037a0c76da563872d853347611bdc925f3c3837a8763332b815e8f32b5b10,0x934ed35e39f5d9b1d42041b3f6b74c0ce452f4ac,recipient,209049.818664,-134.30850492053324,2007951141052674535885693709149135,0,1556.871919006351,202816,172802,325376723689
mypool,15837714,0x19e41b09b0e80fd8acc38ec162a463f193d2ab4b72f89ee5412ff2571365fb4e,1666853231,310,0x19e41b09b0e80fd8acc38ec162a463f193d2ab4b72f89ee5412ff2571365fb4e,0x8e72e9c07da1e9ff31e7c1b96ab3bfad7fb8a664,recipient,202.292101,-0.13,2007951640819845506923081097313448,0,1556.8711440142029,202816,174379,10744822992
